from	to
dtwc/Problem_IO.cpp	dtwc/scores.hpp
dtwc/Problem_IO.cpp	dtwc/types/Range.hpp
dtwc/algorithms/barycenter.cpp	dtwc/Problem.hpp
dtwc/algorithms/barycenter.cpp	dtwc/algorithms/barycenter.hpp
dtwc/algorithms/barycenter.cpp	dtwc/core/portable_random.hpp
dtwc/algorithms/barycenter.cpp	dtwc/error.hpp
dtwc/algorithms/barycenter.cpp	dtwc/parallelisation.hpp
dtwc/algorithms/barycenter.hpp	dtwc/core/clustering_result.hpp
dtwc/algorithms/barycenter.hpp	dtwc/error.hpp
dtwc/algorithms/barycenter.hpp	dtwc/settings.hpp
dtwc/algorithms/clarans.cpp	dtwc/Problem.hpp
dtwc/algorithms/clarans.cpp	dtwc/algorithms/clarans.hpp
dtwc/algorithms/clarans.cpp	dtwc/core/medoid_assignment_policy.hpp
dtwc/algorithms/clarans.cpp	dtwc/core/portable_random.hpp
dtwc/algorithms/clarans.hpp	dtwc/core/clustering_result.hpp
dtwc/algorithms/clarans.hpp	dtwc/settings.hpp
dtwc/algorithms/detail/fast_clara_plan.hpp	dtwc/algorithms/fast_clara.hpp
dtwc/algorithms/fast_clara.cpp	dtwc/Problem.hpp
dtwc/algorithms/fast_clara.cpp	dtwc/algorithms/detail/fast_clara_plan.hpp
dtwc/algorithms/fast_clara.cpp	dtwc/algorithms/fast_clara.hpp
dtwc/algorithms/fast_clara.cpp	dtwc/algorithms/fast_pam.hpp
dtwc/algorithms/fast_clara.cpp	dtwc/core/medoid_assignment_policy.hpp
dtwc/algorithms/fast_clara.cpp	dtwc/core/portable_random.hpp
dtwc/algorithms/fast_clara.cpp	dtwc/error.hpp
dtwc/algorithms/fast_clara.cpp	dtwc/io/parquet_chunk_reader.hpp
dtwc/algorithms/fast_clara.hpp	dtwc/core/clustering_result.hpp
dtwc/algorithms/fast_clara.hpp	dtwc/settings.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/Problem.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/algorithms/detail/fast_pam_plan.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/algorithms/detail/medoid_utils.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/algorithms/fast_pam.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/core/distance_sampling_weights.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/core/medoid_assignment_policy.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/core/portable_random.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/initialisation.hpp
dtwc/algorithms/fast_pam.cpp	dtwc/parallelisation.hpp
dtwc/algorithms/fast_pam.hpp	dtwc/core/clustering_result.hpp
dtwc/algorithms/fast_pam.hpp	dtwc/error.hpp
dtwc/algorithms/hierarchical.cpp	dtwc/Problem.hpp
dtwc/algorithms/hierarchical.cpp	dtwc/algorithms/hierarchical.hpp
dtwc/algorithms/hierarchical.hpp	dtwc/core/clustering_result.hpp
dtwc/algorithms/hierarchical.hpp	dtwc/error.hpp
dtwc/algorithms/one_batch_pam.cpp	dtwc/Problem.hpp
dtwc/algorithms/one_batch_pam.cpp	dtwc/algorithms/one_batch_pam.hpp
dtwc/algorithms/one_batch_pam.cpp	dtwc/core/medoid_assignment_policy.hpp
dtwc/algorithms/one_batch_pam.cpp	dtwc/core/portable_random.hpp
dtwc/algorithms/one_batch_pam.cpp	dtwc/error.hpp
dtwc/algorithms/one_batch_pam.hpp	dtwc/core/clustering_result.hpp
dtwc/algorithms/one_batch_pam.hpp	dtwc/error.hpp
dtwc/algorithms/one_batch_pam.hpp	dtwc/settings.hpp
dtwc/algorithms/tadpole.cpp	dtwc/Problem.hpp
dtwc/algorithms/tadpole.cpp	dtwc/algorithms/tadpole.hpp
dtwc/algorithms/tadpole.cpp	dtwc/core/distance_matrix.hpp
dtwc/algorithms/tadpole.cpp	dtwc/core/dtw_options.hpp
dtwc/algorithms/tadpole.cpp	dtwc/core/lower_bound_impl.hpp
dtwc/algorithms/tadpole.hpp	dtwc/core/clustering_result.hpp
dtwc/api.cpp	dtwc/DataLoader.hpp
dtwc/api.cpp	dtwc/Problem.hpp
dtwc/api.cpp	dtwc/algorithms/fast_clara.hpp
dtwc/api.cpp	dtwc/algorithms/fast_pam.hpp
dtwc/api.cpp	dtwc/algorithms/hierarchical.hpp
dtwc/api.cpp	dtwc/algorithms/one_batch_pam.hpp
dtwc/api.cpp	dtwc/api.hpp
dtwc/api.cpp	dtwc/core/matrix_io.hpp
dtwc/api.cpp	dtwc/detail/tier1_method_resolution.hpp
dtwc/api.cpp	dtwc/env.hpp
dtwc/api.cpp	dtwc/error.hpp
dtwc/api.cpp	dtwc/scores.hpp
dtwc/api.cpp	dtwc/settings.hpp
dtwc/api.hpp	dtwc/Data.hpp
dtwc/checkpoint.cpp	dtwc/Problem.hpp
dtwc/checkpoint.cpp	dtwc/checkpoint.hpp
dtwc/checkpoint.cpp	dtwc/core/sha256.hpp
dtwc/checkpoint.cpp	dtwc/error.hpp
dtwc/checkpoint.hpp	dtwc/core/clustering_result.hpp
dtwc/checkpoint.hpp	dtwc/core/dtw_options.hpp
dtwc/checkpoint.hpp	dtwc/error.hpp
dtwc/core/distance_semantics.hpp	dtwc/core/dtw_options.hpp
dtwc/core/distance_semantics.hpp	dtwc/core/selector_validation.hpp
dtwc/core/distance_semantics.hpp	dtwc/core/variant_validation.hpp
dtwc/core/distance_semantics.hpp	dtwc/error.hpp
dtwc/core/distance_semantics.hpp	dtwc/missing_utils.hpp
dtwc/core/dtw.cpp	dtwc/core/distance_semantics.hpp
dtwc/core/dtw.cpp	dtwc/core/dtw.hpp
dtwc/core/dtw.cpp	dtwc/core/msm.hpp
dtwc/core/dtw.cpp	dtwc/core/selector_validation.hpp
dtwc/core/dtw.cpp	dtwc/core/twe.hpp
dtwc/core/dtw.cpp	dtwc/core/variant_validation.hpp
dtwc/core/dtw.cpp	dtwc/distance.hpp
dtwc/core/dtw.cpp	dtwc/soft_dtw.hpp
dtwc/core/dtw.cpp	dtwc/warping_adtw.hpp
dtwc/core/dtw.cpp	dtwc/warping_ddtw.hpp
dtwc/core/dtw.cpp	dtwc/warping_wdtw.hpp
dtwc/core/dtw.hpp	dtwc/core/distance_metric.hpp
dtwc/core/dtw.hpp	dtwc/core/dtw_options.hpp
dtwc/core/dtw.hpp	dtwc/core/selector_validation.hpp
dtwc/core/dtw.hpp	dtwc/settings.hpp
dtwc/core/dtw.hpp	dtwc/warping.hpp
dtwc/core/dtw_cost.hpp	dtwc/missing_utils.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/Problem.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/core/distance_semantics.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/core/dtw_cost.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/core/dtw_dispatch.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/core/dtw_kernel.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/core/dtw_options.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/core/msm.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/core/public_distance.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/core/twe.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/error.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/missing_utils.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/warping.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/warping_adtw.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/warping_ddtw.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/warping_missing.hpp
dtwc/core/dtw_dispatch.cpp	dtwc/warping_wdtw.hpp
dtwc/core/dtw_dispatch.hpp	dtwc/settings.hpp
dtwc/core/dtw_kernel.hpp	dtwc/core/scratch_matrix.hpp
dtwc/core/gpu_dtw_common.hpp	dtwc/core/public_distance.hpp
dtwc/core/gpu_dtw_common.hpp	dtwc/enums/KernelOverride.hpp
dtwc/core/lower_bound_impl.hpp	dtwc/core/distance_metric.hpp
dtwc/core/lower_bounds.hpp	dtwc/core/distance_metric.hpp
dtwc/core/matrix_io.hpp	dtwc/core/distance_matrix.hpp
dtwc/core/matrix_io.hpp	dtwc/core/mmap_distance_matrix.hpp
dtwc/core/matrix_io.hpp	dtwc/error.hpp
dtwc/core/medoid_assignment_policy.hpp	dtwc/error.hpp
dtwc/core/mmap_data_store.hpp	dtwc/Data.hpp
dtwc/core/mmap_data_store.hpp	dtwc/core/crc32.hpp
dtwc/core/mmap_data_store.hpp	dtwc/core/llfio_include.hpp
dtwc/core/mmap_distance_matrix.hpp	dtwc/core/crc32.hpp
dtwc/core/mmap_distance_matrix.hpp	dtwc/core/distance_matrix.hpp
dtwc/core/mmap_distance_matrix.hpp	dtwc/core/llfio_include.hpp
dtwc/core/msm.hpp	dtwc/core/variant_validation.hpp
dtwc/core/msm.hpp	dtwc/settings.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/core/lower_bound_impl.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/core/pruned_distance_matrix.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/core/selector_validation.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/detail/decode_pair.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/error.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/parallelisation.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/settings.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/warping.hpp
dtwc/core/pruned_distance_matrix.cpp	dtwc/warping_adtw.hpp
dtwc/core/pruned_distance_matrix.hpp	dtwc/Problem.hpp
dtwc/core/pruned_distance_matrix.hpp	dtwc/core/lower_bound_impl.hpp
dtwc/core/pruned_distance_matrix.hpp	dtwc/core/lower_bounds.hpp
dtwc/core/pruned_distance_matrix.hpp	dtwc/enums/LowerBoundStrategy.hpp
dtwc/core/pruned_distance_matrix.hpp	dtwc/settings.hpp
dtwc/core/pruned_distance_matrix.hpp	dtwc/warping.hpp
dtwc/core/selector_validation.hpp	dtwc/core/dtw_options.hpp
dtwc/core/selector_validation.hpp	dtwc/error.hpp
dtwc/core/storage.hpp	dtwc/error.hpp
dtwc/core/time_series.hpp	dtwc/settings.hpp
dtwc/core/twe.hpp	dtwc/core/variant_validation.hpp
dtwc/core/twe.hpp	dtwc/settings.hpp
dtwc/core/variant_validation.hpp	dtwc/core/selector_validation.hpp
dtwc/cuda/cuda_dtw.cu	dtwc/cuda/cuda_dtw.cuh
dtwc/cuda/cuda_dtw.cu	dtwc/cuda/cuda_memory.cuh
dtwc/cuda/cuda_dtw.cu	dtwc/cuda/gpu_config.cuh
dtwc/cuda/cuda_dtw.cu	dtwc/cuda/kernel_selection.hpp
dtwc/cuda/cuda_dtw.cu	dtwc/cuda/launch_prep.hpp
dtwc/cuda/cuda_dtw.cu	dtwc/detail/decode_pair.hpp
dtwc/cuda/cuda_dtw.cuh	dtwc/core/gpu_dtw_common.hpp
dtwc/cuda/cuda_dtw.cuh	dtwc/enums/KernelOverride.hpp
dtwc/cuda/cuda_dtw.cuh	dtwc/error.hpp
dtwc/cuda/kernel_selection.hpp	dtwc/enums/KernelOverride.hpp
dtwc/cuda/launch_prep.hpp	dtwc/error.hpp
dtwc/detail/tier1_method_resolution.hpp	dtwc/core/storage.hpp
dtwc/distance.hpp	dtwc/core/distance_semantics.hpp
dtwc/distance.hpp	dtwc/core/dtw_options.hpp
dtwc/distance.hpp	dtwc/core/msm.hpp
dtwc/distance.hpp	dtwc/core/twe.hpp
dtwc/distance.hpp	dtwc/core/variant_validation.hpp
dtwc/distance.hpp	dtwc/missing_utils.hpp
dtwc/distance.hpp	dtwc/settings.hpp
dtwc/distance.hpp	dtwc/soft_dtw.hpp
dtwc/distance.hpp	dtwc/warping.hpp
dtwc/distance.hpp	dtwc/warping_adtw.hpp
dtwc/distance.hpp	dtwc/warping_ddtw.hpp
dtwc/distance.hpp	dtwc/warping_missing.hpp
dtwc/distance.hpp	dtwc/warping_missing_arow.hpp
dtwc/distance.hpp	dtwc/warping_wdtw.hpp
dtwc/dtwc.hpp	dtwc/DataLoader.hpp
dtwc/dtwc.hpp	dtwc/Problem.hpp
dtwc/dtwc.hpp	dtwc/algorithms/barycenter.hpp
dtwc/dtwc.hpp	dtwc/algorithms/clarans.hpp
dtwc/dtwc.hpp	dtwc/algorithms/detail/medoid_utils.hpp
dtwc/dtwc.hpp	dtwc/algorithms/fast_clara.hpp
dtwc/dtwc.hpp	dtwc/algorithms/fast_pam.hpp
dtwc/dtwc.hpp	dtwc/algorithms/hierarchical.hpp
dtwc/dtwc.hpp	dtwc/algorithms/one_batch_pam.hpp
dtwc/dtwc.hpp	dtwc/api.hpp
dtwc/dtwc.hpp	dtwc/checkpoint.hpp
dtwc/dtwc.hpp	dtwc/core/clustering_result.hpp
dtwc/dtwc.hpp	dtwc/core/distance_matrix.hpp
dtwc/dtwc.hpp	dtwc/core/distance_metric.hpp
dtwc/dtwc.hpp	dtwc/core/dtw.hpp
dtwc/dtwc.hpp	dtwc/core/dtw_options.hpp
dtwc/dtwc.hpp	dtwc/core/lower_bound_impl.hpp
dtwc/dtwc.hpp	dtwc/core/lower_bounds.hpp
dtwc/dtwc.hpp	dtwc/core/matrix_io.hpp
dtwc/dtwc.hpp	dtwc/core/mmap_distance_matrix.hpp
dtwc/dtwc.hpp	dtwc/core/scratch_matrix.hpp
dtwc/dtwc.hpp	dtwc/core/time_series.hpp
dtwc/dtwc.hpp	dtwc/core/z_normalize.hpp
dtwc/dtwc.hpp	dtwc/cuda/cuda_dtw.cuh
dtwc/dtwc.hpp	dtwc/distance.hpp
dtwc/dtwc.hpp	dtwc/fileOperations.hpp
dtwc/dtwc.hpp	dtwc/metal/metal_dtw.hpp
dtwc/dtwc.hpp	dtwc/missing_utils.hpp
dtwc/dtwc.hpp	dtwc/mpi/mpi_distance_matrix.hpp
dtwc/dtwc.hpp	dtwc/scores.hpp
dtwc/dtwc.hpp	dtwc/settings.hpp
dtwc/dtwc.hpp	dtwc/soft_dtw.hpp
dtwc/dtwc.hpp	dtwc/utility.hpp
dtwc/dtwc.hpp	dtwc/warping.hpp
dtwc/dtwc.hpp	dtwc/warping_adtw.hpp
dtwc/dtwc.hpp	dtwc/warping_ddtw.hpp
dtwc/dtwc.hpp	dtwc/warping_missing.hpp
dtwc/dtwc.hpp	dtwc/warping_missing_arow.hpp
dtwc/dtwc.hpp	dtwc/warping_wdtw.hpp
dtwc/dtwc_cl.cpp	dtwc/algorithms/detail/fast_clara_plan.hpp
dtwc/dtwc_cl.cpp	dtwc/cli/config_file.hpp
dtwc/dtwc_cl.cpp	dtwc/core/mmap_data_store.hpp
dtwc/dtwc_cl.cpp	dtwc/core/variant_validation.hpp
dtwc/dtwc_cl.cpp	dtwc/dtwc.hpp
dtwc/dtwc_cl.cpp	dtwc/env.hpp
dtwc/dtwc_cl.cpp	dtwc/error.hpp
dtwc/dtwc_cl.cpp	dtwc/io/arrow_ipc_reader.hpp
dtwc/dtwc_cl.cpp	dtwc/io/parquet_chunk_reader.hpp
dtwc/dtwc_cl.cpp	dtwc/io/parquet_reader.hpp
dtwc/enums/KernelOverride.hpp	dtwc/error.hpp
dtwc/enums/LowerBoundStrategy.hpp	dtwc/error.hpp
dtwc/enums/Method.hpp	dtwc/error.hpp
dtwc/enums/Solver.hpp	dtwc/error.hpp
dtwc/enums/enums.hpp	dtwc/enums/KernelOverride.hpp
dtwc/enums/enums.hpp	dtwc/enums/LowerBoundStrategy.hpp
dtwc/enums/enums.hpp	dtwc/enums/Method.hpp
dtwc/enums/enums.hpp	dtwc/enums/Solver.hpp
dtwc/env.cpp	dtwc/env.hpp
dtwc/env.cpp	dtwc/error.hpp
dtwc/env.hpp	dtwc/error.hpp
dtwc/fileOperations.hpp	dtwc/settings.hpp
dtwc/initialisation.cpp	dtwc/Problem.hpp
dtwc/initialisation.cpp	dtwc/core/distance_sampling_weights.hpp
dtwc/initialisation.cpp	dtwc/core/portable_random.hpp
dtwc/initialisation.cpp	dtwc/initialisation.hpp
dtwc/initialisation.cpp	dtwc/parallelisation.hpp
dtwc/initialisation.cpp	dtwc/settings.hpp
dtwc/initialisation.cpp	dtwc/types/Range.hpp
dtwc/io/arrow_c_data.cpp	dtwc/error.hpp
dtwc/io/arrow_c_data.cpp	dtwc/io/arrow_c_data.hpp
dtwc/io/arrow_c_data.cpp	nanoarrow/nanoarrow.h  [unresolved]
dtwc/io/arrow_c_data.hpp	dtwc/Data.hpp
dtwc/io/arrow_ipc_reader.hpp	dtwc/settings.hpp
dtwc/io/parquet_chunk_reader.hpp	dtwc/Data.hpp
dtwc/io/parquet_chunk_reader.hpp	dtwc/io/parquet_schema.hpp
dtwc/io/parquet_chunk_reader.hpp	dtwc/settings.hpp
dtwc/io/parquet_reader.hpp	dtwc/Data.hpp
dtwc/io/parquet_reader.hpp	dtwc/io/parquet_schema.hpp
dtwc/io/parquet_reader.hpp	dtwc/settings.hpp
dtwc/main.cpp	dtwc/dtwc.hpp
dtwc/metal/metal_dtw.hpp	dtwc/core/gpu_dtw_common.hpp
dtwc/metal/metal_dtw.hpp	dtwc/enums/KernelOverride.hpp
dtwc/metal/metal_dtw.hpp	dtwc/error.hpp
dtwc/mip/benders.cpp	dtwc/Problem.hpp
dtwc/mip/benders.cpp	dtwc/core/clustering_result.hpp
dtwc/mip/benders.cpp	dtwc/error.hpp
dtwc/mip/benders.cpp	dtwc/mip/benders.hpp
dtwc/mip/benders.cpp	dtwc/mip/highs_support.hpp
dtwc/mip/benders.cpp	dtwc/mip/mip.hpp
dtwc/mip/benders.cpp	dtwc/mip/nearest_medoid.hpp
dtwc/mip/benders.cpp	dtwc/mip/solution_transaction.hpp
dtwc/mip/benders.cpp	dtwc/settings.hpp
dtwc/mip/benders.cpp	dtwc/timing.hpp
dtwc/mip/highs_support.hpp	dtwc/error.hpp
dtwc/mip/index_guard.hpp	dtwc/error.hpp
dtwc/mip/lagrangian_root.cpp	dtwc/Problem.hpp
dtwc/mip/lagrangian_root.cpp	dtwc/core/clustering_result.hpp
dtwc/mip/lagrangian_root.cpp	dtwc/error.hpp
dtwc/mip/lagrangian_root.cpp	dtwc/mip/lagrangian_root.hpp
dtwc/mip/lagrangian_root.cpp	dtwc/mip/nearest_medoid.hpp
dtwc/mip/lagrangian_root.cpp	dtwc/mip/reduced_cost_fixing.hpp
dtwc/mip/lagrangian_root.cpp	dtwc/mip/solution_transaction.hpp
dtwc/mip/lagrangian_root.cpp	dtwc/parallelisation.hpp
dtwc/mip/mip_Gurobi.cpp	dtwc/Problem.hpp
dtwc/mip/mip_Gurobi.cpp	dtwc/error.hpp
dtwc/mip/mip_Gurobi.cpp	dtwc/mip/index_guard.hpp
dtwc/mip/mip_Gurobi.cpp	dtwc/mip/mip.hpp
dtwc/mip/mip_Gurobi.cpp	dtwc/mip/solution_transaction.hpp
dtwc/mip/mip_Gurobi.cpp	dtwc/mip/warm_start.hpp
dtwc/mip/mip_Gurobi.cpp	dtwc/settings.hpp
dtwc/mip/mip_Gurobi.cpp	dtwc/types/types.hpp
dtwc/mip/mip_Gurobi.cpp	gurobi_c++.h  [unresolved]
dtwc/mip/mip_Highs.cpp	dtwc/Data.hpp
dtwc/mip/mip_Highs.cpp	dtwc/Problem.hpp
dtwc/mip/mip_Highs.cpp	dtwc/error.hpp
dtwc/mip/mip_Highs.cpp	dtwc/mip/highs_support.hpp
dtwc/mip/mip_Highs.cpp	dtwc/mip/index_guard.hpp
dtwc/mip/mip_Highs.cpp	dtwc/mip/mip.hpp
dtwc/mip/mip_Highs.cpp	dtwc/mip/solution_transaction.hpp
dtwc/mip/mip_Highs.cpp	dtwc/mip/warm_start.hpp
dtwc/mip/mip_Highs.cpp	dtwc/settings.hpp
dtwc/mip/mip_Highs.cpp	dtwc/timing.hpp
dtwc/mip/mip_Highs.cpp	dtwc/types/types.hpp
dtwc/mip/pdlp_lp.cpp	dtwc/error.hpp
dtwc/mip/pdlp_lp.cpp	dtwc/mip/highs_support.hpp
dtwc/mip/pdlp_lp.cpp	dtwc/mip/index_guard.hpp
dtwc/mip/pdlp_lp.cpp	dtwc/mip/pdlp_lp.hpp
dtwc/mip/reduced_cost_fixing.cpp	dtwc/error.hpp
dtwc/mip/reduced_cost_fixing.cpp	dtwc/mip/reduced_cost_fixing.hpp
dtwc/mip/solution_transaction.cpp	dtwc/Problem.hpp
dtwc/mip/solution_transaction.cpp	dtwc/error.hpp
dtwc/mip/solution_transaction.cpp	dtwc/mip/solution_transaction.hpp
dtwc/mip/solution_transaction.hpp	dtwc/core/clustering_result.hpp
dtwc/mip/solution_transaction.hpp	dtwc/error.hpp
dtwc/mip/warm_start.cpp	dtwc/Problem.hpp
dtwc/mip/warm_start.cpp	dtwc/algorithms/fast_pam.hpp
dtwc/mip/warm_start.cpp	dtwc/error.hpp
dtwc/mip/warm_start.cpp	dtwc/mip/solution_transaction.hpp
dtwc/mip/warm_start.cpp	dtwc/mip/warm_start.hpp
dtwc/mip/warm_start.cpp	dtwc/settings.hpp
dtwc/mip/warm_start.hpp	dtwc/core/clustering_result.hpp
dtwc/mpi/mpi_distance_matrix.cpp	dtwc/detail/decode_pair.hpp
dtwc/mpi/mpi_distance_matrix.cpp	dtwc/mpi/allreduce_chunking.hpp
dtwc/mpi/mpi_distance_matrix.cpp	dtwc/mpi/mpi_distance_matrix.hpp
dtwc/mpi/mpi_distance_matrix.cpp	dtwc/parallelisation.hpp
dtwc/mpi/mpi_distance_matrix.cpp	dtwc/warping.hpp
dtwc/parallelisation.hpp	dtwc/env.hpp
dtwc/parallelisation.hpp	dtwc/types/Range.hpp
dtwc/scores.cpp	dtwc/Problem.hpp
dtwc/scores.cpp	dtwc/error.hpp
dtwc/scores.cpp	dtwc/parallelisation.hpp
dtwc/scores.cpp	dtwc/scores.hpp
dtwc/settings.hpp	dtwc/enums/enums.hpp
dtwc/soft_dtw.hpp	dtwc/core/dtw_cost.hpp
dtwc/soft_dtw.hpp	dtwc/core/dtw_kernel.hpp
dtwc/soft_dtw.hpp	dtwc/core/scratch_matrix.hpp
dtwc/soft_dtw.hpp	dtwc/core/variant_validation.hpp
dtwc/soft_dtw.hpp	dtwc/error.hpp
dtwc/soft_dtw.hpp	dtwc/settings.hpp
dtwc/system_memory.cpp	dtwc/DataLoader.hpp
dtwc/test_api.hpp	dtwc/dtwc.hpp
dtwc/types/Range.hpp	dtwc/types/Index.hpp
dtwc/types/element_types.hpp	dtwc/types/types_util.hpp
dtwc/types/types.hpp	dtwc/types/Range.hpp
dtwc/types/types.hpp	dtwc/types/element_types.hpp
dtwc/types/types_util.hpp	dtwc/settings.hpp
dtwc/utility.hpp	dtwc/fileOperations.hpp
dtwc/utility.hpp	dtwc/parallelisation.hpp
dtwc/utility.hpp	dtwc/settings.hpp
dtwc/utility.hpp	dtwc/timing.hpp
dtwc/utility.hpp	dtwc/types/types.hpp
dtwc/warping.hpp	dtwc/core/dtw_cost.hpp
dtwc/warping.hpp	dtwc/core/dtw_kernel.hpp
dtwc/warping.hpp	dtwc/core/dtw_options.hpp
dtwc/warping.hpp	dtwc/core/scratch_matrix.hpp
dtwc/warping.hpp	dtwc/core/selector_validation.hpp
dtwc/warping.hpp	dtwc/settings.hpp
dtwc/warping_adtw.hpp	dtwc/core/dtw_cost.hpp
dtwc/warping_adtw.hpp	dtwc/core/dtw_kernel.hpp
dtwc/warping_adtw.hpp	dtwc/core/variant_validation.hpp
dtwc/warping_adtw.hpp	dtwc/settings.hpp
dtwc/warping_adtw.hpp	dtwc/warping.hpp
dtwc/warping_ddtw.hpp	dtwc/core/selector_validation.hpp
dtwc/warping_ddtw.hpp	dtwc/settings.hpp
dtwc/warping_ddtw.hpp	dtwc/warping.hpp
dtwc/warping_missing.hpp	dtwc/core/dtw_cost.hpp
dtwc/warping_missing.hpp	dtwc/core/dtw_kernel.hpp
dtwc/warping_missing.hpp	dtwc/core/dtw_options.hpp
dtwc/warping_missing.hpp	dtwc/core/selector_validation.hpp
dtwc/warping_missing.hpp	dtwc/missing_utils.hpp
dtwc/warping_missing.hpp	dtwc/settings.hpp
dtwc/warping_missing.hpp	dtwc/warping.hpp
dtwc/warping_missing_arow.hpp	dtwc/core/dtw_cost.hpp
dtwc/warping_missing_arow.hpp	dtwc/core/dtw_kernel.hpp
dtwc/warping_missing_arow.hpp	dtwc/core/dtw_options.hpp
dtwc/warping_missing_arow.hpp	dtwc/core/selector_validation.hpp
dtwc/warping_missing_arow.hpp	dtwc/settings.hpp
dtwc/warping_wdtw.hpp	dtwc/core/dtw_cost.hpp
dtwc/warping_wdtw.hpp	dtwc/core/dtw_kernel.hpp
dtwc/warping_wdtw.hpp	dtwc/core/variant_validation.hpp
dtwc/warping_wdtw.hpp	dtwc/error.hpp
dtwc/warping_wdtw.hpp	dtwc/settings.hpp
dtwc/warping_wdtw.hpp	dtwc/warping.hpp
